,"offer.lotto.engine (https://www.notion.so/offer-lotto-engine-2b20750f8d1b412886a139dbcee5593b), offer.sport.engine (https://www.notion.so/offer-sport-engine-3e8b22327a5e42adb2c044241f42bf09), offer.specials.engine (https://www.notion.so/offer-specials-engine-30fa6f25c1774aaa94c7c883a1d77149), offer.sport.streaming-api (https://www.notion.so/offer-sport-streaming-api-1d7d17375f2041da9bdac45fc41d0d03)","HTTP Server, Redis, Websockets",offer.api,Filip Reškov,,Production,Critical,"Betting, Incubator, Trading",Serves Offer to clients via HTTP and Websockets,2
,,"Cron, HTTP Client",offer.fastly.purge-retrier,Antonio Benc,,Production,Medium,"Betting, Incubator, Trading",Fixes offer after purger fails.,1
,,"Consumer, HTTP Client, Producer",offer.fastly.purger,Antonio Benc,,Production,Critical,"Betting, Incubator, Trading",Purges changed offer from Fastly.,
Stored data is read directly by offer.api. Syncs lotto stats directly with SuperSoft.,offer.api (https://www.notion.so/offer-api-627459f031a745bb8d39fb85aa0fe488),"Consumer, Cron, Engine, HTTP Client, Redis, Supersoft Integration",offer.lotto.engine,,,Production,High,Betting,Imports lotto data from supersoft into the offer server redis. Only used for SB_RO as lotto is not allowed in SB_PL and the service is only used for legacy SuperSoft data.,2
,,"Consumer, Cron, Engine, HTTP Client, Redis",offer.print.adapter,,,Production,Low,Trading,Prepares offer for generating print pdf. Works only for outright events.,2
Uses DocRaptor to generate pdfs.,,"HTTP Client, HTTP Server, S3",offer.print.api,,,Production,Low,Trading,Generates and serves pdf based on data provided by print adapter and a hardcoded html template.,2
,,"Batcher, Consumer, DynamoDB, Engine, HTTP Client, Supersoft Integration",offer.print.results-engine,Anton Ružman,,Production,Medium,Trading,"Updates results in SuperSoft. If it fails, the Offer Print will have incorrect data.
Results imported in SuperSoft are then produced in offer TEMP_LEGACY_MESSAGE which is used to serve results on offer server.",2
"Overrides market line and odd entering codes using an endpoint on trading.offer.api.
Sends odd IDs to offer.supersoft.pregame-engine using grpc, so it may filter data received from SuperSoft.
Has a http server for a specific hack to allow migrating events which were under way in SuperSoft.","trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), offer.supersoft.pregame-engine (https://www.notion.so/offer-supersoft-pregame-engine-464f31562d864940989ee66b43eec58c)","Batcher, Consumer, DynamoDB, Engine, HTTP Client, HTTP Server, Supersoft Integration, gRPC Client",offer.print.sport-engine,Anton Ružman,,Production,Medium,Trading,Updates prices and event statuses in Supersoft.,3
,,"Cron, HTTP Client, Producer",offer.specials.allowances-api,,,Production,Medium,Trading,"Periodically fetches allowances config from CMS and pushes into the allowances topic. If it fails, Bet Acceptance will not have the latest allowance configuration.",1
,trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10),"Consumer, DynamoDB, Engine, HTTP Client",offer.specials.code-engine,,,Production,Medium,Trading,"Consumes SuperSoft print specials and updates market line and odd entering codes based on them. If it fails, retail apps may not be able to find events using the entering codes. ",1
